TaxaDeChegadaMedia,TempoDeServicoMedio,NumServidores,RequisicoesSubmetidas,RequisicoesConcluidas,TempoMedioDeResposta,TamanhoMedioDaFila
20.000000,0.840000,10,600,338,7.438188,134.985207
19.000000,0.840000,10,583,340,5.580805,101.638235
18.000000,0.840000,10,524,338,5.231782,81.872781
17.000000,0.840000,10,500,364,4.009991,64.423077
16.000000,0.840000,10,516,345,5.298531,87.246377
15.000000,0.840000,10,440,367,2.204773,26.452316
14.000000,0.840000,10,418,347,4.028695,50.518732
13.000000,0.840000,10,415,367,1.953181,24.482289
12.000000,0.840000,10,366,333,1.449141,12.471471
11.000000,0.840000,10,316,316,0.841357,2.193038
10.000000,0.840000,10,296,292,0.781930,1.626712
9.000000,0.840000,10,266,266,0.874739,0.947368
8.000000,0.840000,10,242,242,0.801641,0.177686
7.000000,0.840000,10,210,210,0.850260,0.047170
6.000000,0.840000,10,196,196,0.858739,0.053922
5.000000,0.840000,10,152,152,0.806015,0.012821
4.000000,0.840000,10,111,111,0.951148,0.000000
3.000000,0.840000,10,80,80,0.939286,0.000000
2.000000,0.840000,10,58,58,0.702104,0.000000
1.000000,0.840000,10,41,41,0.739269,0.000000
